Stimmzettel_id,Name,Partei_slug,Partei,Wahlkreis_id,Wahlkreis_name,Beruf,Wohnort,Jahrgang,Parlament_Watch_url,,,,
1,Karsten Möring,CDU,Christlich Demokratische Union Deutschlands,93,Koeln_I,,,,http://www.abgeordnetenwatch.de/karsten_moering-1031-71261.html,,,,
2,Martin Dörmann,SPD,Sozialdemokratische Partei Deutschlands,93,Koeln_I,,,,http://www.abgeordnetenwatch.de/martin_doermann-1031-70556.html,,,,
3,Stefanie Ruffen,FDP,Freie Demokratische Partei,93,Koeln_I,"Dipl.-Ing. Architektin
",Köln,1971,http://www.abgeordnetenwatch.de/stefanie_ruffen-1031-71499.html,,,,
4,Berivan Aymaz,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,93,Koeln_I,"freiberufliche Moderatorin und Übersetzerin
",Köln,1972,http://www.abgeordnetenwatch.de/berivan_aymaz-1031-70331.html,,,,
5,Heinz Peter Karl Fischer,DIE LINKE,DIE LINKE,93,Koeln_I,"staatl. geprüfter Informatiker / zurzeit Fraktionsmitarbeiter
",Köln,1967,http://www.abgeordnetenwatch.de/hp_heinz_peter_fischer-1031-70633.html,,,,
6,Gerald Günther Teybig,PIRATEN,Piratenpartei Deutschland,93,Koeln_I,,,,http://www.abgeordnetenwatch.de/gerald_teybig-1031-70415.html,,,,
7,Melanie Händelkes,NPD,Nationaldemokratische Partei Deutschlands,93,Koeln_I,,,,http://www.abgeordnetenwatch.de/melanie_haendelkes-1031-75013.html,,,,
8,Tamas Antal Bech,BüSo,Bürgerrechtsbewegung Solidarität,93,Koeln_I,,,1954,http://www.abgeordnetenwatch.de/tamas_antal_bech-1031-75321.html,,,,
9,Hendrik Rottmann,AfD,Alternative für Deutschland,93,Koeln_I,"staatl. gepr. Betriebswirt, Offizier b.d. Bundeswehr
","Köln-Porz
",1969,http://www.abgeordnetenwatch.de/hendrik_rottmann-1031-73883.html,,,,
10,Christine-Maria Hudyma,FREIE WÄHLER,FREIE WÄHLER,93,Koeln_I,"Geschäftsführerin im Bereich Real Estate Management
",Medebach,1961,http://www.abgeordnetenwatch.de/christa_hudyma-1031-74232.html,,,,
1,Professor Dr. Heribert Hirte,CDU,Christlich Demokratische Union Deutschlands,94,Koeln_II,"Volljurist - Prof. Dr. iur.
","Köln-Sürth
",1958,http://www.abgeordnetenwatch.de/prof_dr_iur_heribert_hirte-1031-70861.html,,,,
2,Elfi Scho-Antwerpes,SPD,Sozialdemokratische Partei Deutschlands,94,Koeln_II,"Bürgermeisterin in Köln, Stadträtin
","Köln-Klettenberg
",,http://www.abgeordnetenwatch.de/elfi_scho_antwerpes-1031-71591.html,,,,
3,Hans Hermann Stein,FDP,Freie Demokratische Partei,94,Koeln_II,"Dipl-Volkswirt
",Köln,1965,http://www.abgeordnetenwatch.de/hans_hermann_stein-1031-71705.html,,,,
4,Volker Beck,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,94,Koeln_II,Erster Parlamentarischer Geschäftsführer,Köln,1960,http://www.abgeordnetenwatch.de/volker_beck-1031-70372.html,,,,
5,Matthias W. Birkwald,DIE LINKE,DIE LINKE,94,Koeln_II,"Diplom-Sozialwissenschaftler
",Köln,1961,http://www.abgeordnetenwatch.de/dipl_soz_wiss_matthias_w_birkwald_mdb-1031-70403.html,,,,
6,Andreas Gärtner,PIRATEN,Piratenpartei Deutschland,94,Koeln_II,Systemadministrator,Köln-Ehrenfeld,1963,http://www.abgeordnetenwatch.de/andreas_gaertner-1031-71771.html,,,,
7,Thorsten Peter März,NPD,Nationaldemokratische Partei Deutschlands,94,Koeln_II,,,1972,http://www.abgeordnetenwatch.de/thorsten_peter_maerz-1031-75195.html,,,,
8,Johannes David Themba Faku,BüSo,Bürgerrechtsbewegung Solidarität,94,Koeln_II,,,1986,http://www.abgeordnetenwatch.de/johannes_david_themba_faku-1031-75194.html,,,,
9,Stephan Boyens,AfD,Alternative für Deutschland,94,Koeln_II,,,,http://www.abgeordnetenwatch.de/stephan_boyens-1031-74921.html,,,,
10,Joachim Orth,FREIE WÄHLER,FREIE WÄHLER,94,Koeln_II,,,,http://www.abgeordnetenwatch.de/joachim_orth-1031-74233.html,,,,
1,Gisela Manderla,CDU,Christlich Demokratische Union Deutschlands,95,Koeln_III,selbständig,Köln,1958,http://www.abgeordnetenwatch.de/gisela_manderla-1031-71199.html,,,,
2,Dr. Rolf Mützenich,SPD,Sozialdemokratische Partei Deutschlands,95,Koeln_III,"Diplom Politikwissenschaftler
",Köln,1959,http://www.abgeordnetenwatch.de/dr_rolf_muetzenich-1031-71299.html,,,,
3,Volker Görzel,FDP,Freie Demokratische Partei,95,Koeln_III,Rechtsanwalt,Köln,1970,http://www.abgeordnetenwatch.de/volker_goerzel-1031-70718.html,,,,
4,Katharina Dröge,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,95,Koeln_III,"Diplom-Volkswirtin
",,1984,http://www.abgeordnetenwatch.de/katharina_droege-1031-70569.html,,,,
5,Michael Weisenstein,DIE LINKE,DIE LINKE,95,Koeln_III,,,,http://www.abgeordnetenwatch.de/michael_weisenstein-1031-71895.html,,,,
6,Thomas Hegenbarth,PIRATEN,Piratenpartei Deutschland,95,Koeln_III,,Köln,,http://www.abgeordnetenwatch.de/thomas_hegenbarth-1031-71876.html,,,,
7,Tibor Herzog,NPD,Nationaldemokratische Partei Deutschlands,95,Koeln_III,,,1963,http://www.abgeordnetenwatch.de/tibor_herzog-1031-75196.html,,,,
8,Stephan Hochstein,BüSo,Bürgerrechtsbewegung Solidarität,95,Koeln_III,,,1983,http://www.abgeordnetenwatch.de/stephan_hochstein-1031-75197.html,,,,
9,Thomas Heilig,FREIE WÄHLER,FREIE WÄHLER,95,Koeln_III,,,,http://www.abgeordnetenwatch.de/thomas_heilig-1031-74234.html,,,,
1,Helmut Fedor Nowak,CDU,Christlich Demokratische Union Deutschlands,101,Koeln_IV,,,,http://www.abgeordnetenwatch.de/helmut_nowak-1031-71330.html,,,,
2,Professor Dr. Karl Wilhelm Lauterbach,SPD,Sozialdemokratische Partei Deutschlands,101,Koeln_IV,"Medizinstudium, Promotion zum Dr. med., Universitätsprofessor, Gesundheitspolitischer Sprecher der SPD-Bundestagsfraktion, Mitglied im Kompetenzteam des SPD Kanzlerkandidaten im Bereich Gesundheit und Pflege, MdB",,1963,http://www.abgeordnetenwatch.de/karl_lauterbach-1031-71108.html,,,,
3,Dr. Guido Fischer,FDP,Freie Demokratische Partei,101,Koeln_IV,"Arzt für Strahlentherapie
","Leverkusen Hitdorf
",1959,http://www.abgeordnetenwatch.de/dr_guido_fischer-1031-70634.html,,,,
4,Rainer Blum,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,101,Koeln_IV,"Bankkaufmann
",Leverkusen,1969,http://www.abgeordnetenwatch.de/rainer_blum-1031-70411.html,,,,
5,Hamide Akbayir,DIE LINKE,DIE LINKE,101,Koeln_IV,"Chemisch-Technische Assistentin
",,1959,http://www.abgeordnetenwatch.de/hamide_akbayir-1031-70308.html,,,,
6,Bernhard Blankenheim,NPD,Nationaldemokratische Partei Deutschlands,101,Koeln_IV,,,1951,http://www.abgeordnetenwatch.de/bernhard_blankenheim-1031-75200.html,,,,
7,Dr. Ernst Albert Herbert,MLPD,Marxistisch-Leninistische Partei Deutschlands,101,Koeln_IV,,,1952,http://www.abgeordnetenwatch.de/dr_ernst_albert_herbert-180-27411.html,,,,
8,Bettina Bernhard,FREIE WÄHLER,FREIE WÄHLER,101,Koeln_IV,,,,http://www.abgeordnetenwatch.de/bettina_bernhard-1031-74237.html,,,,
9,Torsten Arnold Tofahrn,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",101,Koeln_IV,,,,http://www.abgeordnetenwatch.de/torsten_tofahrn-1031-74045.html,,,,
